,descricao_produto
487569,TORNOZELEIRA NYLON COM PESO PAR 500G ARKTUS
570572,PAPEL HIG PALOMA 60M
619507,DESENGRIPANTE SPRAY WD 40 300ML
39045,ENVELOPE OFICIO IMPRESSO
177152,PORTA CADEADO 81114 51MM ZI
142432,E63103 ELEMENTO
478960,ALFINETE P MAPA AMARELA C 50 UN HELLOMAX
203389,ANILHA 5 16
593228,OTOSCOPIO MINE
623741,BATATA PALHA BELLO SABORE 400 G
357243,CORREIA TIPO V
44176,FILTRO BARRO E VELA
92798,LUVA LATEX PROCEDIMENTO N CIRURGICO TAM. M C 100
529235,LIVRO ADIVINHE QUEM MORA AQUI
403375,VW 24.280 CRM
1434,FLANELA MALVES 28X48CM
224896,BISSULF CLOPIDOGREL 75MG C 28CP 12441
250008,GELATINA PO 35 GR
324756,"SIFROL 0,25MG C 30 RECEITA ER"
594322,PARAF SEXT NC G5 F 3 8 X 1 RI
211254,"ABRACADEIRA NYLON 2,5X100MM"
516793,"BROCA IRWIN VIDEA 9 32 7,0MM"
399154,DISJUNTOR TRIPOLAR 3X15A
249361,GARRAFA PLASTICA 500ML
367460,DISPENSADOR FITA ADESIVA
295797,TRAVA DO PATIM MODERNO
706425,FITA VEDA ROSCA 12 MM X 25 M AMANCO
517031,SABAO PO AMARELO 20KG
546404,BOTINA DALLAS SEGURANCA. RASPA 51123
33725,CR SKALA 1KG KERATINA PLUS
562100,CAIXA PAPEL A4 500 FLS
261508,LAMPADA ELETRONICA 13WX127V
463866,LAMPADA PH TORPEDO 5W1
638907,MASSA CORRIDA PVA
551604,ABRACADEIRA DA MOLA DO FIAT UNO
17380,2004 MANGOTE
40263,JG ESCOVA KRUG BSX44
250005,GELATINA PO 30GR
238405,FECHADURA PORTA TRAZEIRA ESQUERDA
220082,CARDIZEM 60MG C 50 COM
377281,OLEO PARA MOVEIS 200ML WORKER
59627,LUVA COLA E ROSCA 50MM
154862,GRAMPO P GRAMPEADOR 23 13 C 5.000 BRW
376739,ETILOMETRO BAF 300
57733,LIMPA PISO 01 L
14099,VEDACIT 18 L
394880,APONTADOR FABER S DEPOSITO REF. 25
661041,OLEO DIFERENCIA
49775,GRANITO METRO QUADRADO
229814,CORRETIVO LIQUIDO NEW MAGIC 18ML
502739,PARAFUSO FENDIDO BIMETALICO PFB 025MM
523676,PASSA FORMAS VERTICAL
487818,LAPIS 4B
441709,PAPEL A4 COPIMAX PCT C 500 UN
405915,JOELHO 90 PVC ESG 50MM AMANCO
674583,DEXALGEN INJ 3AMP
179612,REBITE 516
420265,PERDIGAO MORTADELA BOLOGNELLA FATIAR MBL010239671
29890,CASTANHA PARA KG S CASCA
358477,BLOCO RASCUNHO 10X15 IMPRESSO MINEIRO
375868,FUZIVEL 30 AMPER F30AP
478174,PINCEL PARA PINTURA N 2
216843,CAIBRO 6X6 CM
403511,COLA BRANCA 1KG COLAPEL
470434,SUCROFER 20MG ML 5X5ML HIDROX.FERRICO
594843,LONA PRETA MAXILONA 4X100
440795,NAUSEDRON 8MG
296505,PERCEVEJO LATONADA
243541,FITA ADESIVA 19X50 CR
107962,ALBUMINA REATIVO SECO VITROS
391340,ESTICADOR CABO ACO 1 4
462598,FLUIDO FREIO VARGA DOT 3 500 ML CX 30
330161,SALGADOS DA CASA DIVERSOS
543908,PARAFUSO LAMINA 5 8X3.1 2 10.9 2396 3
322471,CHOCOLATE SERENATA AMOR
481304,FITA ZEBRADA PR AM PLASTCOR
460553,NERVAMIN 300MG PRATI DONADUZZI
290210,PAPEL MICRO ONDULADO COR ROSA
387777,SERRA CP 19MM
370785,PONTA RECUPERADORA
514267,PADRAO HEMOGLOBINA REF 47 1 X 1 ML LABTEST
456939,CAPA P ENCADERNACAO A 4
471160,DETERG LIMPOL NEUTRO 500ML
98422,"TNT 1,40M CORES ACP"
626153,"MARCA TEXTO COMPACTOR DESTAQ AM UN 1,0"
62632,"MARABU LIGHT 50MM 1813 01 1.5M BCO UN 1,0"
208356,"BLOCO CANALETA 0,15"
274553,FILTRO MANN W7 MULTI 3 4 D
381105,TAMPA LACRE CONEXAO MTCO 1390
184591,D.ROLO ESP.23 CMS
607804,BUCHA P TIJOLO BAIANO N.10
191691,TB GALV.LEVE 1 2X2.25 MM 21.3MM
642028,"AUT GUARDIOES DOS SONHOS, OS"
387967,CH FENDA ISOL VDE 5 X 150MM 44315 023
552985,MANGUEIRA P HID.ACO 1 4 2 TRAMAS R2AT 4
520148,RETENTOR 19631
672676,B52 CORREIA TRANSPOWER
612623,REFRIGERANTE 350 ML LATA GUARANA
686127,ANEL MANCAL GARFO EMBREAGEM
3021,SABAO PO TIXAN FLOR DO SOL 500G
320794,SEALTUBO 2 1 2
127007,CERA LIQUIDA 05 L LIMPBRAS INCOLOR
34928,DES DOVE ROLLON S PERFUM
340902,EXTENSOR P ROLO PINT. 3M
683976,CLORID AMITRIPTILINA 25MG
449326,TOPAMAX 25 MG C 60 COM
303238,PORTA ESCOVA UNIFAP 11914
263078,DETERGENTE LAVA LOUCA 500ML
467189,BATERIA HG70ND
702967,MARGARINA QUALY S SAL 500G
471984,JG JUNTA CAMBIO EATON
276498,ARGAMASSA QUARTZ 20KG AC2 EXTERNO
549811,MARMITEX PARA O CAE
365488,RODO PLASTICO MEDIO
616628,SOLDA PLASTICA 175 G
605947,LACTO PURGA ENV C 6
330245,SP07 VELA IGNICAO
600251,PRANCHETA ACRILICA CARBRINK
304008,"PRANCHA 0,06X0,25 MS EUCALIPTO"
262078,LAMPADA OSRAM 100127V
217654,CALCADOR HOLLEMBACK 1 FAVA
141259,DORFLEX C 10CP
239735,FILME RX 35X35 FUJI
576761,METALON 50X30 6 M C18
142247,ELASTICO PARA DINHEIRO
375216,FLUIMUCIL 100MG 5AMP 3ML
176790,TRAVA PORCA MANGA EIXO
506738,ARQ ACO PANDIN 4GAV OF04SL C CC
19857,AMORTECEDOR DIANTEIRO FIAT STRADA TODOS
338169,TE RED SOLD 50X25MM PLASTUBOS
330984,KIT BUCHA ESTABIL
307144,QUEROSENE LITRO
25210,BOTHANICO LEAVE IN TERMOATIVADO 200ML
41508,ESTILETE GRANDE 29BP CIS
326881,JOELHO PVC SOLDA 60MM X 90
227893,CONDIMENTO
174207,MILHO PIPOCA PAPO 10 500G
180250,BASE RELE FOTO ELET 10 15A TFBR0LM
264094,LEITE DESNATADO UHT 1L
601850,AZULIM TRAD. 1L
508199,UNIAO ROSCAVEL 60 MM
52032,ISQUEIRO BAIDE GRANDE TRANSP CADA
451743,"CABO FLEX 4,00MM CINZA"
430666,TAIPA
671545,"CABO FLEX. A 1,50 MM2 LAMESA BRANCO"
373892,CONECTOR HASTE COBRE INTELLI SIMPLES
336521,"SOLUCAO TAMPAO PH 10,00 FR 250ML"
424831,LAPISEIRA CIS DELTA 0.7
497829,"CRACHA PEG REMOV 7X10 HORIZONTAL UN UN 1,0"
34754,DENTE ANT. A25 INFERIOR COR 62
509610,ARAME LISO GALV. BWG16 MORLAN
248017,VINAGRE TOSCANO FRUTA MACA 750ML
59234,FILTRO OLEO LUBRIFICANTE DO FIAT UNO PALIO FIRE REF 1793 A
521186,LIXA MASSA 080 CARBORUMDUM
335004,SENSOR ROTACAO DS1802
534515,MONTANTE LE
411892,BLUSAO TIPO MOLETOM VERMELHA SEAP TAM EXG
164363,GRAMPEADOR MESA 26 6 BRW
535411,LAMPADA MISTA 250X220V FLC
541700,INTERRUPTOR REDUZIDA
562756,LAMPADA NAC H 7 GE 55W 12V
15874,OXIGENIO MED 1 M3 TIPO G
407821,M FIO
210585,BORRACHA 8 MERCUR RECORD ZERO
72770,PECA MADEIRA LEI 6X12
284679,FIO NYLON BRISTOL QUAD 3.0MM
449263,TELA 30X40
359512,DESINFETANTE TRIEX 5L FLORAL
415637,ROLO LA 23CM TIGRE SINTETICA 1312
595396,TE PBA BBB DN 100 X 50 110 X 60 MM
595468,PSC 499 FILTRO BLIND OLEO DIESEL
56770,"PIMENTAO VERDE EXTRA LEGUMES FRESCOS, IN NATURA"
168099,PAIO
464120,COLA SUPER PANO 250G REF.16825 VAREJO IND UNID ACRILEX
561091,MANIVELA DO VIDRO DA PORTA DIANT
176810,22461BC120L\PORCA DIREITA
544837,DESINF MINUANO 500ML TRAD PINHO
101743,TUBO PR.SD.50MM
155388,HALOPERIDOL 2MG ML 20ML
660575,HORTIFRUTIGRANJEIROS TEMPERO ALHO E SAL
172892,CANETA BPS PILOTO
676646,LIXEIRA TELADA 10 L
532462,CONECTOR PORC. TRIPOLAR 10 MM
429495,ZANIDIP 10MG C 30 COM
478012,LAMPADA 24V TORPEDO 5W MENOR 35MM
172084,PANO PERFEX
24165,BISCOITO BISCOPAO POLVILHO COM QUEIJO 150 GR
594494,FOGUETE 12 1 TIROS
47956,GARFO DESCARTAVEIS STRAW PLAST TIPO MASTER 50UN
70708,ORBI TRAVA PARAFUSO 10GR
39580,BUTILBROMETO ESCOPOLAMINA INJETAVEL
492601,ACUCAR CRISTAL SANTA RITA 5K
235802,ENXADA LARGA C CABO MADEIRA
657002,REFRIG. COCA COLA 2LTS
213708,BUCHA AZULIM 3UN
111482,ARROZ AGULHINHA 1 KG
424855,CAMOMILINA C 20CAP
519713,CAIXA TERMICA 9 L
547700,REPARO VALVULA HYDRA DECA MAX 2550 1.1 4 E 1.1 2 4686.325
135431,CORAL CORALAR ACR.VERDE TIMBALADA 3600ML
132937,COLAR CERVICAL TAM M
587517,CAIXA ISOPOR ISOESTE 60L
509241,PNEU 7.50 16 CT160 NYTC 10PR
94518,TAMPAO FERRO FUNDIDO 80CM C ANEL
51539,INTERFONE F8 HDL
436066,DETERG PO URCA MAXX SACHE 1KG
359967,CHAVE SETA FIAT UNO FIRE
369174,ROLETE PATIM FREIO
329970,LAMPADA DIVERSOS R12258
455944,ALFABETO E SILABAS MDF
555490,CHOC KITKAT 45 G
89814,SORO GLICOFISIOLOGICO 250ML FRASCO C 40 P.M.C. 132.40
512445,EXT TOM COLONIAL 340 GR
532590,SELO MECANICO 5 8 TSQ T06
528467,VASTAREL MR CX 30 COMP
29969,CASTROL 15W40
417061,DESTALONADOR DTL 10 LUKATEC
345445,COMP. ACETABULAR POLIETILENO 53X28 ZCA
265612,LINGUICA COZINHA PREMIADA CHUR
150460,AGLOFILITO 18KG
211839,ABRACADEIRA 2 POLEGADAS
411107,NESINA 25 MG 30 CP S NYCOM
525044,VASSOURA MENDONCA PELO 30CM
558294,ANJO THINNER 2900 5L
165049,MIORRELAX 30COM
72016,PASTA CATALOGO C 50 ENVELOPES FINOS ROSA CLARO CX N 1090RS DAC 109
143652,ENERGIA ELETRICA LEILAO 02 2006 EN
267358,LONA PRETA LONAX 8X100 REF.150 70K
119585,CABO ACO 8MM
633057,ESTETOSCOPIO CARDIOLOGICO PREMIUM
307952,REBITE ALUMINIO 310
38020,ELEMENTO FILTRO HIDRAULICO ITEM 2
243895,FITA CREPE 25X50 ADERE
364048,TORNEIRA PIA 1159 1 2
588817,BUCHA REDUCAO CURTA 50X40MM
424179,TEE FEMEA 1 4 NPT
402076,ENPONJA DUPLA FACE
494645,SINVASTATINA 40MG C 30 GERMED GEN
686516,OLEO CAMBIO 75W90
582090,PENEIRA ARO PLAST AREIA 55 COMEP
649475,ARAME P FORMA RECOZIDO N. 12
365156,ALAVANCA SELDIN 1L ESQUERDA
559277,CAIXA 4X2 MONDIALE
656309,ESPIRAL TRANSPARENTE
167764,GAS P13 CINZA
430752,LANTERNA DIANT
68983,LANCHE 3 PAO FRANCES 50G C QUEIJO MUSSARELA
550421,CHAVE PHILIPS 5 16X4 TRAMONTINA
329827,DINITRATO ISOSSORBIDA 10MG CPR
443757,GARFO P REFEICAO SABOR
26707,BUDESONIDA 32 MCG 120 DOSES NOEX SPRAY
685181,TUBO AGROP. PN60 SOLDAVEL AGUA 20MM
344232,"TIJOLO CERAMICA 0,15"
1059,FLANELA AMAR 28X38
356791,CICA GRANDE
571706,PADRAO BIFASICO 4.5M 1 CX
18431,ADAP FLANGE 50MM TIGRE
487257,PILHA RAYOVAC ALCALINA AA 2UN
74097,PINCA FOERSTER C SERRILHA RETA 18CM PROFESSIONAL
361744,FLANGE DO PINHAO DO DIFERENCIAL
229703,CORREIA USO VEICULAR ALTERNADOR
185738,ROLAMENTO 6309 DDU FAG
503018,ALAVANCA ACION.FREIO
551969,PARA BARRO
550455,CADERNO DESENHO TAMANHO A4
280219,MOLHO SHOYO 900ML
137680,VEDA CALHA ALUM 280G
653100,CJ CRUZETA
157274,KIT EMBREAGEM 330MM
114067,BANDEIJA DIREITA DUCATO
413629,BISC C.CRACKER PRODASA 400GR
534568,SOLUCAO MIF 100 ML SCIAVICCO
17945,ABR.ROSCA SEM FIM 3 4 A 1 1 4
331592,GRAMPEADOR 100FS MASTER MP390
164819,CREME MILHO
695795,"BATERIA 12V 7,0AH PARA NOBREAK UNIPOWER"
465663,BELFAREN 50 MG C 20 CAP
604011,TERMINAL PRESSAO REFORCADO TA 16 16MM2 COD 229
318765,SACO ALVEJ GODOY
336191,JUNTA DA TAMPA VALVULA UNO FIRE
573803,MADEIRA PC 12 X 6
696962,"CABO PP CLASSE 4 0.6 1KV 4X1,5MM"
11466,ESMALT GLAS AZUL D.REY 3.6L BRILHANTE
308780,LUVA REDUCAO GALVANIZADA 2 X 1 1 2
208260,BLOCO ADESIVO NEOM 76X76 C 100FL
571625,LEITE ROSA MEDIO 100ML
88054,SERINGA DESCARTAVEL 20ML SEM AGULHA EMBRAMAC UN
344355,TIJOLO LAJOTA 15 X 20 X 30 1
673091,ESPATULA 12CM ACO MONFORT CB MADEIRA
382546,BROA MINEIRA
264921,LIMBITROL C 20 RECEITA
679649,COPO DESCARTAVEL 300 ML CX
583412,NOBREAK 600 VA MONOVOLT
294130,PASTA ABA ELASTICO DELLO
441949,"LINHA 14 X 6,5"
652409,TELEFONE SEM FIO INTELBRAS TS40ID
431832,LAMP. ELET. 20W TASCHIBRA
23675,BEROTEC GT 20ML
665090,NEOVITE LUTEIN C 60 COM
627212,LUBRIFICACAO
161020,LONA FREIO L552 LONAFLEX
60750,MAC SANTA AMALIA OVO AVE MARIA 500G
314651,"RODO PLASTICO 60 CM CABO 1,5 CL"
24141,BISCOITO MARIA CAIXA
556873,PORTA QUADRO HORARIO TRABALHO 046 DAC
102451,UMIDIFICADOR O2 250ML COMP. ADULTO
486421,PAO INTEGRAL KG
599510,NESINA 25MG C 30 CONTINUO TAKEDA
486888,LUBRAX GL 5 SAE 140 20 L
541285,FORCADO 10 DENTES
340415,TELHA PLAN CAPA E BICA
690375,MICROFONE CSR 840B CJ MICR RECEP GOOSENECK S FIO
424952,LAMPADA FAROL H4 12V 60 55W
433498,"TINTA TECIDO ACRILEX 37ML 582VD GR UN 1,0"
304423,PRENSA HIDRAULICA
343357,LANTERNA TETO MB
531388,PICOLE DIVERSOS SABORES
295856,PATINHO PREMIUM GRILL
440261,SACO PANO ALVEJADO GDE UND
592721,FIO FLEXIVEL 10 MM METR0
549237,PARAF.SEXT.UNC 1 2X3
324891,SILENCIOSO TRAS STRADA
293017,PARAFUSO SEXT 10X80
440910,AUTOCLAVE
588222,TONER HP CF212A YELHOW
114746,BATATA PALHA CHEF 400GR
120928,CADERNETA 40 FL
341070,TENSOR CORRENTE COMANDO
526152,LUVA COBRE 28MM
455227,FLANELA MULTBOM 28X48 AMARELA
78963,PRIMERA
121670,CAFE 3 COR. FORT 500G
124817,VERDURA CARA KG
706343,PINCEL MARCADOR P QUADRO BRANCO VERMELHO CX .C 12UN
284055,NORFLOXACINO 400MG
266715,LIXA NORTON D AGUA GR100 T277
109900,SYSTANE UL 10ML
141996,BUCHA EIXO TRAZ
518851,LAMPADA 02 POLOS 12 V
289423,PAPEL CHAMEX MULTI A4 210X297MM 500FL
454371,MANTA TERMICA
146323,TOUCA BRANCA DESCARTAVEL
660602,LAMPADA FAROL H3 24V
261442,LAMPADA AUTOMOTIVA H1 12V
284627,CARIMBO NYKON POWER 302
383216,DISPENSADOR PAPEL TOALHA ABS
259892,KIT AMORT TRAS FI PAL 96 33.293
223461,CIMENTO TUPY CPII E 32
479202,SELENIA 5W30 PERFORMACE 1L
470888,MARMITEX 1
319826,SALSICHA CONG. KG
87557,"SELO 34,4MM"
693689,ENANTATO NORETISTERONA VALERATO ESTRADI 50 5
320704,SCALP 23
361755,GALERIA PERSIANA
334421,"MADEIRA SERRADA TABUA PINUS 2,3"
591194,ENVELOPE BRANCO 114X229
299896,PLACA VIDRO PARA MANIPULACAO 10MM DESPOLIDA
689772,GEL CONDUTOR PARA ECG 5 L
541293,BALDE PLASTICO 30L ARQPLAST
206424,ALMOTOLIA AMBAR 125ML BICO RETO
585448,DETERGENTE LIQUIDO 500ML NEUTRO BARRA
350242,TNT LARANJA 013
708549,FRALDA PACOTE ECONOMICO M
257907,JOELHO 90 BUCHA LATAO AZUL 20MM 1 2
296200,PEGADOR MASSA DISOLLE LONGO 28CM R.70610
177488,"POTE RASO C TRAVAS 1,1L 14,5X21,7X6,5CM CX N 233 NITRONPLAST 23"
206159,BALAO LISO 07 C 50 AZUL CLARO
180564,REPARO CAMBIO
630049,REFLETOR TASCHIBRA 250
344763,ALAVANCA SELDIN INFANTIL JOGO C 3UN
96580,TERMINAL CC 10
690163,FOSFORO FIAT LUX COZINHA C 240 LONGOS
473966,BOIA CAIXA D'AGUA 1 2
137954,DEMAND 2.5CS MCAP LT
328974,SONDA URETRAL N12 GOODCOME
173823,PINO CENTO 12X10 CA
347776,TUBO SOLDAVEL 25MM MULTILIT
147944,ESPONJA PONJITA UN
644304,SENSOR DE DETEC MIC INFRAVERMELHO DS 410 V2
454230,FRANGO DESFIADO
533968,PASTA C GRAMPO PLASTICO FUME
362916,GRAMPO CARROCERIA
32944,CONJ MEC TRONIC MILLC PL TOM NORM VERT.10A 39025
584732,SACO LIXO 30 L C 10 UNIDS
85671,SABAO GLICERINADO 200G
295681,"PATANOL 0,1% SOL OFT FR GTS 5ML"
47599,FUSIVEL FDW 35 DIII 35A GL GG
397528,CEFTRIAXONA 500G INJ FR AMP IV C DIL 2ML GEN
394061,REPARO VALV. HYDRA 2515 REF. 874
583114,AGULHA 40 X 12 C 100 18G 1 DESCARPACK
568972,PINO MACHO PRENSA CABO 10A CZ
333338,SUPORTE CAMBIO
405334,PILHA ALCALINA PALITO AA C 2
499864,DESENTUPIDOR PARA PIA
216517,CAFE 3 CORACOES EX.FORTE 500GR
81177,REFRIG FRUTTY LIMAO 2L
70713,PARAFUSO BLOQUEIO PROXIMAL 105MM
266356,LIVRO PONTO MENSAL 50FL PC 10 GRIFFE
254912,IBUPRIL 100MG ML GTS 20ML TEUTO
666156,MASCARA LARINGEA 1.0 DESCARTAVEL
18487,ADAPTADOR 1 HIDROSSOL
661954,PROFLAM
74308,PINCEL COMPACTOR COLOR PRETO UNID
676553,APAGADOR P QUADRO BRANCO C PORTA MARCADOR
328779,SONDA NASOGASTRICA CURTA N 04
308039,REBITES ONIBUS CAM. VW 2RG609273
101159,TUBO ESGOTO 100
312053,REQUEIJAO CURRAL MINAS 220G
706906,LUVA SOLD C BUCHA LATAO 20X1 2 TIGRE
128244,BUCHA MP L M PERKINS TD MOD SC 85 ST
364660,TRAVESSEIRO NAPA
238467,FECHADURA STAM 701 100 ESP. INOX
101305,LUVA 1 2 PLASTUBOS ROSCA BRANCA
609232,FILTRO OLEO RF 8631
105649,330014A1 ORIGINAL
623668,GELADEIRA 410 L
551729,DOMINIO FORMAS GEOMETRICAS
543504,TACA
296764,PERFURADOR PAPEL PRETO 2 FURO
240292,FILTRO AR CA 9290
185715,ROLAMENTO 6306C3 A30 B
222663,CHOKITO CHOCOLATE
73975,PILHA PANASONIC POWER ALCALINA AA C 4 UN
602091,CH PHILLIPS 1 4 X 5
664879,ATENOLOL 25MG 30CP
505927,CATCHUP ARISCO TRADICIONAL 390 G
490940,TUBO PVC RIG. MARROM SOLD. 25MM X 6M NBR
388807,0010510 CORRENTE ZINCADA
316818,REGISTRO PVC ROSCAVEL
47223,FIGADO FRANGO PIF PAF KG
195304,UVA CRIMSON KG
346723,MOUSE PAD MULTILASER C APOIO GEL PEQUENO REF.AC021
365741,2 INTERRUPTOR SIMPLES SISTEMA X
321248,OLEO SELENIA K
334356,GOIABADA FLAMBOYANT TABLETE 700G 04695
100419,TRENA 50 M TRAMONTINA R.43154 051
694978,POLPA FRUTAS 200G
246002,"FIO PARALELO FLEXIVEL 2 X 0,75"
497463,ESM RISQUE NAT RENDA
530169,BOBINA DO MOTOR PARTIDA
187873,SACO P LIXO GERAPLAST RL 15L C 40
453012,1 INTER SIMPLES
639551,LIVRO O QUE CABE NO MEU MUNDO - JUSTICA
362040,ABRAC P MANG
441629,JOE. SOL. 90 . 32MM AMANCO
249748,GEL CONDUTOR 5 KG
34279,CURVA ESG 100MM
99099,PO PARA TONER HP 505 PRETO
236065,ESCADA EXPANSIVA
704717,XICARA CAFE C PIRES ASTRAL DURALEX
519073,ABRAC. ELETR. TIPO D 3 4 C CUNHA
369341,NGK VELA IGNICAO P STIHL BPM7A
227608,COLORSET 48X66 AZUL CLARO
140836,"DOBRADICA GALV.3,0"
251511,GRAMPO P ISOLAMENTO N. 205
482359,VETAGLOS POMADA 20 G
204873,"ARRUELA ALUMINIO 14,3X20,0X1,5"
19079,AGULHA DUPLA MAQUINA YAMATA IND. N 14
206285,BANANA FLAMBADA
509779,MESA AUXILIAR
589063,ESPIROLACTONA 50MG C 30 COM
450598,CADERNO 1 4 CAPA DURA 48FL LISA TILIBRA
340501,TELHA 3.66 X 1.10 6MM
426524,LIVRO FALA SERIO PROFESSOR
691679,CARTUCHO HP 950XL
87602,SELO MECANICO 5 8 TSQ T06
369607,"TE ESGOTO, 50MM, MARCA PLASTILIT"
406407,BUCHA BANDEJA DIANTEIRA
413891,PASTILHA FREIO BENDIX
30040,CATRACA FREIO MB 1620
514950,FECH. 2600 71 IP
553905,JUNTA BORRACHA P TAMP
134164,COND LORYS KIDS GREEN SHAKE 500ML
647853,GIZ CERA PEQUENO CX C 12 UN
641698,CHOC LACTA BIS 126GR C 20 AO LEITE
408194,BACLOFENO 10MG CPR C 20 BACLOFEN PVC EH
166256,OLANZAPINA 5MG 30COM GEN.1
544260,LIMA K 20 21MM
661992,CANJIQUINHA KG
620945,PREGO 15X21 BELGO
481784,CARBOCISTEINA AD. 100ML
266401,LIVRO PONTO 160 FL
192985,TOUCA DESCARTAVEL COM ELASTICO SANFONADA
624990,SACO ALVEJADO TRADICIONAL
700894,JOELHO PVC 100 X 90 ESGOTO
649842,PEITO PERU DEFUMADO SADIA
424405,RODO PIA PLASTICO 3 PODERES
345207,CAIXA TACTIL
85608,SABAO BARRA NEUTRO GUAIRA 200G
412298,JOELHO 90 EG 75 PLAST
59999,LUVA MUCAMBO 137 AZUL 8 G PROFISSIONAL
56730,LB PLAFORNIER PLAST RECEPTACUL
552024,MANGUEIRA HIDRAULICA 02T 10
93691,"913120 ETIQ LASER 6182 33,9X101,6 C 100F PIMACO"
453195,TRIAZOL 150MG 1CAP
149888,BARRA FERRO 16.0 MM
67054,OLEO HIDRAULICO 68 GT OIL LH GL 5L
31044,CIL MESTRE SIMPLES VARGA
105042,VIGA 6 X 16 EUCALIPTO
456055,BARRA ROSC 3 8
299188,PISTAO NADADOR 6500 JACTO
657560,ACETILENO ABB05 1KG ONU 1001
707936,LIXEIRA C PEDAL 13L PLASVALE
401143,VALV TERMOST
356087,TUBO AZUL AGROP. PN60 SOLDAVEL AGUA 20MM
307915,REBITADOR CABECA GIRAT 4P VONDER
600472,PARAFUSO MAQUINA 1 2X6 150MM
344731,AGUA BI DESTILADA 1000ML SIST.FECHADO
613166,GLICOSE 50 10ML INJ PLAST. SAMTEC
696952,TINTA SPRAY DOURADA PRATA COLORE 360 ML
103160,VALVULA N 9 P TANQUE 1 1 2 KRONA
147433,ESPIRAL P ENCADER PR 07MM PC100 GRAN
276209,"MASCARA OXIGENIO VENTURI, TUBO CORRUGADO, 6 DILUIDORES, TUBO O2, ADULTO"
270939,LUVA UNIAO 32 MM
203310,PANELA ALUMINIO 40CM
263413,LEITE CARAMELIZADO 1L
354200,TORNEIRA BOIA PARA BEBEDOURO
373750,PB VOLVO VM
42865,FECHADURA 0813 03 INOX
167264,OREGANO KG
609632,COADOR CAB MAD ENCOPA FLANELA G UN
371331,FEIJAO ABREU CARIOCA 5KG
96677,TERMINAL ELETR.P CAP.2.7 6.6
550317,JOGO CHARADA
433921,PINO ELASTICO 10 X 80
379784,CANETA ESF 0.7 MM PRETA CX. 50 UN
392479,PREGO 15X15 1.1 4X13 KG BELGO
462065,TOMADA LIZ 2P T 10A 250V TRAMONTINA57170 010
59286,LUGOL
635552,LUVA PROC EMBRAMAC G
371411,AGUA MANTIQUEIRA 510 ML
177797,PR PREGO 17 X 21 ST
618973,TEE ESG.DN 100X100MM KRONA
276671,DUREPOX 100 GR.MASSA
391953,GRELHA GR 35 ARTICULADA FI 4003 IMPERIAL C
709980,SPLIT U.EVAP.HIWALL 18.000BTU F 220V 410 ELGIN ECO ECOPLUS
625401,REQUEIJAO CREMOSO SABOR DA SERRA 410G
695405,VASTAREL MR 35MG C 60 CONTINUO
676083,PROTESE ENDOESQUELETICA PARA AMPUTACAO TRANSTIBIAL
104285,VELA IGNICAO FIRE BKR6EZ
64718,MOLA CONFORME AMOSTRA
200566,ALCOOL ETILICO 65 GEL NEUTRO 500 G
572476,COXIM SUPORTE DIANTEIRO MOTOR 551.199.339
347084,PASTILHA FREIO PD 60 FIAT PALIO CITY 1.0 ELX 1.0
400289,SHAMPOO NEUTRO FR 350 ML
491380,"TARFIC 0,03 10GR"
147641,ESPONJA ACO 14X1
344153,TIJOLINHO OLARIA
620390,OLEO TRANSMISSAO MECANICA 75W80
330393,CLOR SODIO 9MG ML SPRAY NASAL 50ML
354430,TORNEIRA LAVATORIO C 23
549432,BOMBONA PLAST. RETA BOCA PEQ. 200L COCHO 27
375021,TINT COR T 4 0 50GR
575293,LUMINARIA RUA 4LX 450AB E40
17680,5U6 253025 SILENCIOSO TRASEIRO
567717,TIJOLO FURADO 23 CM 1 MARAVILHAS
536930,VERNIZ C FLUOR 1ML
322669,SERINGA DESC 3 ML S AG
262975,LAMPADA P LARINGOSCOPIO
430539,MASSA POLIESTER 1.5 KG LAZZURIL
414107,RASTELO PARA JARDINAGEM
513710,SINVASTATINA 40MG COMP. SINVASTON SANVAL
191798,ATENOLOL 100MG CX 30 COM
332719,SULFATO FERROS O 25MG FE SOL. ORAL
502954,5Z0 129620 A ELEMENTO FILTRO AR
299197,PISTAO 0 34 MM
52776,JOELHO ESG SEC 40MM 90 PLASTUBOS
363119,JTA PH K 300 GRAF. 1 16 FR 300 3 4
499743,CHAVE CANO 18
423379,FECHADURA 803 02 FC ESP GRAFITE G
323758,CLOR. SERTRALINA 25MG CX 30 COM REV
475720,CHAVE PHILIPS 1 8X3
362451,FERMENTO PO UNID. 250G
423667,CERAZETTE 3 75MCG COM 3 X 28
681584,AMANCO ASSENTO SANIT.MUN.TRA.BRANCO
410091,TRAMAL RETARD 100 MG C 10
191756,ALGODAO ROLETE C 100 SSPLUS
339329,BALA SANTA RITA HORTELA MINT 600 G
404274,LUVA LATEX MUSO AM P VOLK
585510,LUVA PVC ROSC 2 AMANCO
316456,LUVA PVC ROSCAVEL 1 2
213974,BUCHA RED CURTA 25X20MM
445309,CAFE MAIS FORTE FINO GRAO 250GR
68116,PA BICO 04 S CABO
129765,CHUCHU IN NATURA KG
282398,MUSCULO PALETA ACEM
56784,LEITE APTAMIL N 1 800G
406235,"ARADOIS H 50 12,5MG 60CP"
172112,PERFIL DOBRADO
246897,FORCEPS ADULTO N. 18L
660872,CAFE CUCA 250GR
